"","OQ1","OQ2","SN1","SN2","PU1","PU2","PU3","PU4","ATT1","ATT2","ATT3","ATT4","BI1","BI2","BI3","BI4","ASU1","ASU2","CP1","CP2","CP3","CP4","PEU1","PEU2","PEU3","PEU4"
138,3,4,3,4,3,4,3,4,4,3,4,3,4,4,4,4,4,3,4,4,3,4,4,4,4,4
139,3,2,4,4,3,3,2,2,2,3,2,3,3,4,4,3,3,3,2,4,4,3,3,4,3,3
140,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
141,3,3,3,3,3,3,3,3,3,3,3,2,5,3,3,4,4,4,1,3,2,2,3,3,3,3
142,3,5,4,3,1,1,1,2,3,3,3,3,2,2,2,2,4,5,2,2,3,3,3,5,3,3
143,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
144,2,1,3,3,3,3,3,4,3,3,3,2,2,4,3,3,3,2,3,4,3,3,4,4,4,4
145,3,3,3,4,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,3,4,3,3
146,2,3,3,2,2,2,2,3,3,2,2,1,3,3,4,3,3,3,3,3,3,2,2,4,4,4
147,4,4,5,4,5,5,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,3,3,3,3,3
148,4,4,4,4,4,4,5,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,4,3,4,4
149,3,2,3,3,1,1,1,2,1,1,1,2,1,3,1,1,1,1,2,2,2,3,2,4,4,4
150,2,3,3,3,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,3,3,2,3,2,3
151,2,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,2,2,2,3,2,2,3,3,3,4
152,3,2,5,5,3,3,3,3,4,4,4,3,4,4,4,3,3,4,4,4,4,4,4,4,4,4
153,2,3,3,3,2,2,2,2,2,2,2,1,2,4,2,1,3,3,1,2,1,2,3,4,4,3
154,3,2,5,5,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,4
155,3,2,4,4,3,3,3,3,4,4,3,4,5,5,4,4,4,4,3,3,3,4,3,3,4,4
156,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,2,3
157,3,3,2,2,3,2,3,2,3,3,2,3,3,2,3,2,3,3,3,2,3,2,3,2,3,2
158,3,2,4,3,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,3,3
159,2,2,4,3,3,3,2,3,3,3,2,3,2,2,2,2,1,1,3,2,3,2,3,2,1,3
160,1,1,3,3,3,4,2,3,3,3,2,2,2,3,3,2,2,1,2,3,2,3,2,2,3,3
161,2,2,3,3,2,2,2,3,2,2,2,2,3,3,2,2,2,3,2,2,2,3,3,3,3,3
162,4,5,3,3,4,4,3,3,4,3,3,3,3,3,4,3,4,4,4,3,4,4,4,4,4,4
163,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3
164,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,2,3,3
165,3,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,3,4,3,4,4,4,3,4
166,3,5,4,4,2,2,2,3,3,3,3,3,5,4,5,4,3,3,3,3,3,3,3,4,3,3
167,3,2,2,3,3,3,3,3,3,3,4,3,3,3,2,3,2,2,3,3,3,3,3,3,2,4
168,3,3,3,3,4,2,2,3,2,2,3,2,2,3,3,3,5,4,4,2,2,2,4,4,4,3
169,2,1,4,2,2,1,1,1,3,2,2,3,4,4,4,4,4,2,3,2,2,3,1,4,4,4
170,2,2,4,3,2,2,2,2,2,2,3,2,2,3,2,3,4,5,3,3,3,3,3,4,3,3
171,3,3,3,2,2,2,2,3,2,2,2,2,2,3,3,2,3,2,2,2,2,2,3,3,2,2
172,3,3,3,3,2,3,3,2,3,2,3,2,2,3,2,3,2,1,2,2,2,2,3,3,2,3
173,4,4,4,4,2,2,2,3,3,3,3,3,2,2,4,3,2,2,3,3,3,3,3,4,4,3
174,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
175,2,1,3,3,2,2,2,3,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,3,3,2
176,3,4,4,4,3,4,3,4,4,4,3,3,4,3,3,4,4,4,4,3,3,5,3,4,4,4
177,2,2,3,3,3,3,3,3,3,3,3,3,1,1,3,1,1,1,2,2,2,2,3,3,3,3
178,3,2,3,3,2,3,2,2,3,2,3,2,1,3,2,2,2,3,2,3,2,2,3,2,3,3
179,3,1,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,4,4
180,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,4,3,3
181,3,3,4,4,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,2,4,4,2,4
182,3,2,4,4,1,1,1,2,3,1,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,3
183,3,4,5,5,3,3,3,3,3,3,3,3,3,3,2,2,1,1,2,2,2,5,4,4,4,4
184,3,3,4,4,3,4,3,4,4,3,4,3,4,4,4,4,4,4,4,4,4,3,4,3,4,4
185,3,3,4,4,3,3,3,4,3,3,3,3,3,4,4,4,3,4,4,4,3,4,4,4,4,4
186,2,2,3,4,2,2,2,3,3,2,2,2,3,2,2,2,2,3,2,2,2,2,2,4,3,3
187,3,3,4,4,4,4,4,4,3,3,3,3,4,4,3,3,5,3,4,4,4,4,4,4,3,4
188,4,5,3,3,3,3,3,5,3,3,3,2,4,4,1,3,4,4,4,2,4,4,3,5,5,5
189,2,4,4,4,2,2,2,4,4,3,2,2,4,4,2,2,2,2,2,2,2,2,4,5,5,4
190,2,3,2,4,4,2,3,3,4,2,3,2,3,2,3,3,2,3,2,3,2,3,2,3,3,2
191,3,3,5,5,3,2,2,3,4,3,3,4,3,4,4,4,3,4,3,4,4,4,4,4,3,4
192,3,4,4,4,3,4,3,4,3,3,4,3,4,4,4,3,4,4,4,3,3,2,3,3,3,3
193,3,2,2,1,3,3,3,3,3,4,3,2,2,2,3,4,3,3,2,3,2,3,3,3,5,2
194,3,3,2,2,3,3,3,3,3,3,4,3,3,3,3,2,2,2,3,3,3,4,4,4,4,4
195,3,2,3,5,4,3,3,4,4,3,3,3,4,4,3,4,4,5,4,5,5,3,2,4,3,3
196,2,2,5,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2
197,3,4,4,3,3,3,3,3,3,3,4,4,3,4,4,4,3,2,3,4,3,3,2,3,3,3
198,3,2,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
199,3,3,3,3,3,3,3,2,2,3,2,3,5,5,3,3,3,3,3,3,3,3,3,3,2,3
200,3,3,5,5,3,3,3,4,4,4,4,3,3,4,3,3,1,1,4,4,4,4,4,5,3,5
201,2,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
202,3,2,2,2,3,3,2,3,3,2,3,3,3,3,3,2,3,5,2,2,3,3,3,4,4,4
203,4,4,5,5,4,4,4,4,4,4,3,4,4,4,5,4,3,3,3,4,4,4,4,5,5,3
204,3,3,3,4,3,4,4,4,4,4,3,4,4,4,4,3,3,2,3,2,2,2,4,4,4,4
205,2,3,2,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
206,2,4,4,4,1,1,1,1,2,2,1,1,2,2,1,3,4,4,3,2,4,3,4,3,1,3
207,3,3,3,3,3,5,5,5,3,4,4,4,4,4,5,4,4,3,3,3,4,4,4,4,4,4
208,2,2,3,3,2,2,2,2,3,2,2,2,2,3,3,2,2,3,2,3,3,3,2,3,3,3
209,4,4,4,3,4,4,4,4,4,3,3,3,4,4,3,3,4,4,4,3,3,3,4,4,3,4
210,2,3,4,4,2,2,2,2,3,3,2,2,3,3,3,3,3,2,3,2,2,2,3,4,5,4
211,3,2,3,3,4,3,3,3,3,2,2,2,3,3,3,3,5,4,3,3,3,3,3,5,4,3
212,3,2,4,4,3,3,3,3,3,2,3,2,3,2,2,2,2,2,3,3,3,4,3,4,3,3
213,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4
214,3,3,3,3,3,3,3,3,4,4,4,3,4,4,3,3,3,3,3,3,4,3,5,5,5,5
215,4,4,4,4,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,5,3,4
216,1,2,3,3,1,1,1,2,2,2,2,1,3,3,2,2,2,3,4,3,3,3,3,3,3,3
217,4,3,4,5,2,3,3,4,4,3,4,3,3,4,5,3,3,2,3,2,3,2,4,3,2,3
218,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,2,1,2,4,4,4,4
219,4,4,3,4,3,3,3,3,4,3,3,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4
220,4,5,3,3,3,3,3,3,4,4,4,5,5,5,5,5,5,3,4,2,3,4,4,4,4,4
221,4,4,4,3,4,4,3,4,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,2,3
222,3,3,4,2,3,2,2,2,4,2,3,3,3,4,3,3,3,2,2,2,3,3,4,3,4,4
223,2,2,3,3,2,3,3,3,4,3,4,2,3,3,3,4,4,4,5,5,5,5,3,3,3,3
224,2,3,2,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1,1,1
225,2,2,3,3,2,2,2,4,4,4,3,3,3,3,2,4,3,3,3,3,3,3,4,4,3,3
226,3,2,3,4,3,4,4,3,3,3,2,3,3,3,3,4,4,4,3,3,3,2,2,3,2,3
227,2,2,4,4,2,2,4,4,3,2,2,3,3,4,4,4,3,4,4,2,2,3,2,2,4,4
228,3,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
229,4,4,4,4,3,3,3,4,4,3,3,3,4,4,5,3,4,2,3,2,2,2,4,5,4,4
230,2,2,3,3,2,1,1,3,3,3,2,2,2,3,3,2,3,2,3,2,2,2,3,4,2,3
231,3,3,4,4,2,3,3,3,3,3,3,2,2,4,3,3,2,3,4,4,3,3,3,4,4,4
232,2,3,4,4,3,3,2,3,3,3,2,2,3,2,3,3,2,2,3,2,2,2,3,4,4,4
233,3,3,4,3,3,3,3,4,3,2,3,2,2,2,3,2,2,2,2,3,3,2,3,3,3,4
234,3,3,5,4,3,3,3,4,5,3,3,2,3,5,3,4,3,2,3,3,3,4,3,5,4,4
235,3,2,4,4,3,3,3,4,3,3,3,4,3,4,4,3,3,4,3,3,3,3,3,4,3,3
236,3,4,3,3,3,3,3,3,3,4,3,4,4,4,3,3,3,3,4,4,3,3,4,5,3,3
237,5,5,3,2,5,5,5,5,5,5,5,5,5,4,2,3,3,2,4,4,1,2,5,5,5,5
238,2,1,4,4,2,2,2,3,2,2,2,1,3,4,3,3,4,5,2,3,3,4,3,2,1,2
239,3,3,5,5,3,3,4,3,4,4,4,4,3,4,4,3,2,3,4,3,3,3,4,4,1,4
240,3,2,4,3,2,2,2,3,3,3,3,3,3,3,2,2,3,2,2,3,3,3,2,3,3,3
241,2,2,3,2,2,1,2,2,2,2,1,2,3,3,2,3,3,2,2,3,2,3,3,3,3,3
242,3,3,4,4,3,3,3,4,5,4,4,3,4,4,4,3,4,2,4,4,4,4,4,5,5,5
243,4,4,4,3,3,3,3,4,5,4,4,4,5,5,3,4,5,5,4,3,2,2,3,4,3,5
244,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3
245,2,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,4,2,1,1,1,4,4,4,4
246,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,2,2,4,3,3,5,3,4,3,3
247,3,2,3,2,3,4,4,4,4,3,4,4,4,4,4,4,3,2,4,4,4,3,3,3,2,3
248,2,2,3,3,1,1,1,1,3,3,3,3,5,5,4,2,4,3,3,2,2,2,4,5,5,5
249,3,3,3,3,3,2,2,4,4,3,2,3,4,3,3,4,4,4,4,2,2,4,4,4,4,4
250,3,3,1,1,3,3,2,3,2,2,2,2,3,3,3,3,3,3,2,3,3,3,3,2,3,2
251,1,1,4,4,1,1,1,1,3,2,2,3,3,3,3,2,2,2,2,2,2,2,3,3,3,3
252,3,2,1,2,2,2,3,2,2,2,1,1,2,2,2,2,2,1,3,2,2,1,2,2,2,1
253,2,2,4,4,2,2,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,2,3,3,4
254,3,2,3,3,2,3,3,3,3,2,2,2,3,3,3,4,4,3,2,3,3,3,3,3,3,3
255,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,2,2,3,3,3,3,2,3,3,2,2
256,3,3,4,3,4,4,4,3,4,4,3,4,2,3,3,4,3,3,3,4,4,4,4,3,4,4
257,1,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2
258,3,2,4,4,2,3,3,2,3,2,1,2,2,2,2,2,2,2,3,2,2,2,2,5,5,4
259,2,2,3,3,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,3,2,3,3,3
260,3,2,4,4,4,4,3,4,4,4,4,3,3,4,3,3,3,4,4,4,3,4,4,4,4,3
261,5,5,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,2,2,2,2
262,2,2,3,3,2,2,2,2,2,3,2,2,3,2,3,3,2,1,3,4,4,4,1,2,3,3
263,2,3,4,4,2,3,2,2,3,2,3,2,2,3,3,2,2,2,2,3,3,3,3,4,3,3
264,4,4,4,4,2,2,2,2,2,1,1,2,3,3,2,3,3,4,2,1,2,2,2,3,3,3
265,4,4,4,4,4,4,4,4,4,4,4,4,5,3,4,3,3,3,3,5,5,3,4,4,4,4
266,4,2,3,3,4,4,4,4,4,3,3,4,4,4,4,5,4,4,4,4,3,5,5,5,1,3
267,3,2,5,5,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3
268,3,3,3,3,3,3,3,3,3,3,3,3,4,5,3,4,4,4,4,5,3,4,3,3,3,3
269,3,4,5,5,3,3,3,4,5,5,4,5,5,5,4,5,5,4,5,4,3,5,5,5,1,4
270,3,3,4,2,3,3,3,3,3,3,4,3,3,4,4,4,3,3,3,3,3,3,3,4,3,3
271,5,4,5,5,4,4,4,4,5,5,5,5,3,4,5,3,3,2,3,1,2,3,5,5,5,5
272,3,2,4,4,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,3,3,2,3,4,4,3
273,4,4,4,4,3,2,3,4,3,3,3,3,4,3,2,3,3,1,4,3,3,4,3,4,4,4
274,2,2,1,3,2,1,2,2,2,2,1,1,1,2,3,3,3,1,2,1,1,1,2,1,1,1
275,4,3,4,3,5,4,4,5,3,5,4,5,4,4,3,5,4,3,3,3,4,5,4,3,3,4
276,2,1,3,3,1,1,2,2,3,2,1,2,1,1,1,1,1,3,2,2,3,3,3,3,2,1
277,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,2,2,2,3,2,2,2,2,3,3,3
