"","PE1","PE2","PE3","PE4","EE1","EE2","EE3","EE4","SI1","SI2","SI3","HM1","HM2","HM3","HA1","HA2","HA3","HA4","BI1","BI2","BI3"
10201991992,7,6,6,6,7,7,7,7,5,6,4,6,6,6,7,5,7,7,7,7,7
10201995788,6,6,6,6,6,6,6,6,6,6,6,4,5,4,5,5,6,6,5,5,5
10201998501,7,7,7,7,7,7,7,7,4,7,7,7,7,7,6,4,5,6,7,7,7
10201999268,6,6,5,5,6,5,5,6,5,5,6,5,5,6,5,5,6,6,6,5,5
10202003316,5,5,5,5,4,5,5,4,4,4,4,4,4,4,5,4,5,5,5,4,5
10202003907,7,6,6,7,7,7,7,7,4,4,4,4,4,4,7,6,6,7,7,7,7
10202009443,5,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,5,5,5
10202016665,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,6,5,6,6,6
10202017392,6,5,5,7,5,5,6,4,3,3,5,5,5,4,3,5,4,4,4,4,6
10202021423,5,5,4,5,5,5,5,5,5,5,6,5,5,5,5,4,6,5,5,5,5
10202023369,5,4,5,6,5,5,5,4,5,6,5,5,4,5,5,5,4,5,5,4,5
10202029447,6,7,7,6,7,7,6,7,7,6,7,6,7,7,7,6,7,7,6,7,6
10202029903,6,6,6,6,7,6,7,7,4,4,4,6,6,6,7,7,7,7,7,7,6
10199529723,3,4,3,4,4,3,4,3,3,4,4,4,4,4,5,5,4,4,3,3,3
10199529985,5,5,6,4,4,4,5,5,3,3,3,3,4,3,5,4,3,2,3,2,3
10199532741,4,5,4,4,4,3,3,3,3,5,3,3,3,1,3,3,4,3,3,4,3
10199533976,4,4,5,4,5,5,5,4,4,4,4,4,4,4,4,3,3,3,5,4,4
10199540745,7,7,7,5,7,7,7,7,1,1,1,4,4,3,4,4,4,3,6,3,7
10199544126,4,3,4,3,5,3,2,3,4,3,3,4,4,4,3,3,5,5,5,5,5
10199545637,2,2,3,4,4,2,3,3,4,3,2,2,2,2,4,5,2,1,1,1,1
10199550551,5,5,6,5,3,3,3,3,4,5,4,4,4,4,4,3,4,4,4,4,4
10199556538,5,5,5,5,3,3,3,3,4,4,5,5,4,5,5,5,5,5,2,3,3
10199567670,4,5,5,6,3,3,4,4,4,4,4,2,4,6,5,4,3,2,6,5,4
10199571555,4,4,4,3,3,3,4,3,1,1,1,3,3,2,2,2,1,1,1,1,1
10199586046,4,3,4,4,4,3,4,3,3,4,3,3,3,4,4,3,4,3,3,4,4
10199601322,5,4,4,3,4,4,4,4,1,1,1,4,4,4,4,1,4,1,1,1,1
10199603614,4,5,4,5,5,4,4,4,1,2,2,2,3,3,4,2,2,1,2,2,2
10199609062,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10199609386,5,5,6,5,5,5,5,5,5,5,6,5,6,5,5,2,4,5,5,5,5
10199631364,6,6,6,5,6,6,6,5,6,6,6,6,6,6,5,5,6,5,6,6,6
10199636268,6,5,5,5,4,4,4,4,4,4,4,4,4,4,5,4,4,4,3,3,3
10199637166,5,6,6,5,5,5,5,5,6,7,5,5,6,5,5,5,6,6,5,5,5
10199637484,3,3,4,4,3,4,4,4,3,4,3,3,4,4,3,3,3,4,3,3,3
10199648561,6,5,6,3,4,4,4,3,6,5,6,4,4,4,5,4,4,3,5,4,4
10199653012,5,5,4,4,5,5,5,5,4,4,5,4,4,4,5,4,4,3,4,4,4
10199659029,4,5,5,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4
10199659215,5,6,5,5,5,6,5,5,5,6,6,5,4,4,4,5,5,4,3,5,4
10199677683,5,5,5,4,5,5,5,5,4,4,4,4,4,4,6,5,4,4,4,4,4
10201566090,4,4,3,4,3,4,3,4,4,3,5,4,5,5,4,6,4,3,3,4,4
10201577992,6,5,6,6,6,6,6,6,5,5,5,4,4,4,5,5,5,5,4,4,4
10201580807,5,4,5,5,6,5,5,5,4,4,4,4,4,4,5,4,4,4,3,3,3
10201584312,5,5,5,4,4,4,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4
10201586579,5,3,5,5,5,4,5,4,2,2,3,3,3,4,2,2,3,2,4,5,4
10201606250,6,6,7,7,7,6,6,7,6,7,6,6,6,6,4,3,4,3,6,6,6
10201614879,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,4,4,4
10201620216,4,5,4,4,5,5,6,5,6,6,7,5,6,5,6,5,5,6,6,6,6
10201627946,5,5,5,6,5,6,6,6,6,6,6,5,5,5,5,5,6,6,4,4,4
10201631237,5,5,5,4,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4
10201668471,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3
10201675110,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10201683921,6,7,6,6,5,5,6,6,5,5,5,6,6,7,5,4,5,5,6,5,6
10201683952,5,6,5,6,4,4,4,4,5,4,5,5,5,5,5,5,6,5,5,5,4
10201684291,5,5,5,4,6,6,6,5,1,1,1,3,3,2,4,3,1,1,1,1,1
10201684846,6,6,7,6,4,5,4,4,2,3,2,2,3,3,5,4,4,1,2,2,1
10201688128,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10201688361,7,5,6,4,6,6,6,6,4,4,4,4,4,3,5,4,3,4,3,2,2
10201689647,4,4,4,4,4,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,5
10201712917,4,5,4,3,4,5,5,4,4,5,4,4,3,4,4,5,4,3,3,4,4
10201718418,5,3,4,3,4,3,3,3,4,3,3,2,2,2,2,2,2,2,3,3,3
10201718516,5,6,5,4,4,4,3,2,3,3,4,4,4,4,4,3,3,3,3,2,2
10201719520,4,5,4,4,5,4,5,4,4,5,5,4,5,5,4,4,5,5,4,3,3
10201844808,7,7,7,7,7,7,7,7,7,7,7,4,4,4,7,4,7,7,7,7,7
10201851214,5,6,6,6,6,6,7,7,4,4,5,3,3,2,4,3,3,3,4,5,5
10201855120,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10201859814,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10201866738,4,4,4,4,2,2,2,2,4,4,4,3,3,3,3,1,2,2,3,3,3
10201868887,4,4,4,4,5,5,5,5,5,4,4,5,4,4,5,4,5,4,5,4,4
10201873707,5,5,6,6,3,3,4,4,4,4,3,3,3,2,2,2,3,2,3,2,3
10201875183,5,6,6,5,5,5,6,5,4,4,4,5,5,5,5,5,4,5,5,4,4
10201875577,6,5,6,5,6,6,5,5,5,4,5,6,5,5,5,4,4,4,5,5,4
10201890888,5,6,6,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4
10201893094,7,4,4,5,7,7,7,7,4,4,4,4,4,4,7,5,5,6,5,6,5
10201894955,5,5,5,6,4,4,4,3,4,4,4,4,4,4,5,5,4,4,4,5,5
10201903284,4,4,4,3,4,4,4,5,4,4,5,4,4,5,4,4,4,5,4,4,5
10201919198,6,2,4,4,5,5,5,5,4,4,4,4,3,3,3,2,2,2,4,4,3
10201947375,6,6,6,4,5,5,5,6,4,4,4,3,4,4,4,4,4,4,4,4,3
10201950787,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,6,5,5,6,6,5
10201955613,5,5,5,4,2,3,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2
10201956053,4,5,6,4,4,5,5,5,4,4,4,4,4,4,4,4,4,3,4,4,4
10201956266,5,6,6,5,3,3,3,3,5,5,5,3,2,3,3,3,2,2,3,5,3
10201965828,6,6,5,6,5,4,5,4,4,4,4,5,4,4,4,4,4,4,2,3,3
10201969643,6,4,5,7,4,4,5,4,4,4,4,4,4,4,5,4,5,4,5,4,3
10201973021,3,4,3,4,3,5,4,3,3,5,4,3,4,5,4,2,6,4,2,4,3
10202021740,4,4,5,4,3,3,3,3,2,2,2,3,3,3,2,3,2,2,2,2,2
10202050312,3,2,4,3,2,3,4,3,2,3,2,4,3,3,3,2,4,2,3,3,2
10202056209,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,4,4,4,4,4,4
10202056520,6,6,5,7,4,5,5,4,6,7,7,7,7,7,6,5,6,7,7,7,7
10202064180,6,6,6,1,5,4,4,4,1,1,1,1,1,1,1,1,4,1,1,1,1
10202074470,6,5,6,6,7,7,7,5,5,4,4,5,6,4,5,3,6,5,6,5,6
10202077780,4,4,4,4,3,3,3,3,2,2,3,3,3,3,4,3,3,4,3,3,3
10202078133,4,4,5,4,4,4,5,5,5,5,5,3,4,4,3,3,3,4,4,4,3
10202084655,5,5,5,4,5,3,5,5,4,5,6,4,4,5,4,4,4,3,4,4,5
10202094426,5,6,5,5,5,4,5,5,4,5,4,5,5,5,6,5,5,6,5,4,4
10202095194,4,5,3,3,3,3,3,3,3,3,4,3,4,4,5,4,4,3,1,2,2
10202112696,5,5,4,4,3,3,4,4,2,2,2,2,2,2,2,2,3,3,3,3,3
10202120652,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4
10202121708,4,4,4,3,4,3,4,3,3,3,3,3,3,2,4,3,3,3,4,3,3
10202165436,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,5,4,4,4
10202181108,7,5,5,4,6,6,6,6,4,4,4,6,6,5,3,3,3,4,4,3,4
10202185786,7,6,6,5,5,5,6,5,4,4,4,4,4,3,5,4,5,3,4,2,2
10202198331,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
10202213839,6,6,5,6,5,6,6,6,4,4,4,6,5,5,5,6,5,5,5,6,5
10202220682,5,5,4,5,4,5,4,2,4,4,5,6,6,6,5,5,5,5,5,5,4
10202247573,4,4,3,5,4,3,4,4,2,2,1,3,2,1,4,3,5,4,5,4,5
10202264901,4,5,4,5,4,3,5,4,3,4,4,5,4,4,2,3,3,4,4,3,5
10202297359,5,5,4,4,3,3,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4
10202301777,4,5,4,4,5,3,2,4,4,2,3,4,3,3,4,5,4,4,4,4,2
10202314061,5,5,4,4,5,5,5,5,3,3,3,4,4,4,4,3,3,3,2,2,2
10202370702,5,4,4,4,5,4,4,4,3,3,3,3,3,3,4,4,3,4,4,4,4
10202387846,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,2,2,2,2
10202453137,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,4
10202512506,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10202555571,5,4,5,4,4,4,5,5,4,4,4,3,3,3,4,4,5,4,4,3,4
10202758906,6,7,6,5,4,5,5,6,4,5,4,4,4,4,5,3,5,5,5,6,6
10202759310,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10202760355,6,6,6,4,6,5,6,6,4,3,4,4,4,4,2,2,4,4,4,2,4
10202760659,6,5,7,6,5,5,6,6,7,5,6,7,4,5,7,5,5,6,5,4,3
10202762659,4,5,4,5,4,4,5,5,4,5,4,4,5,4,4,4,5,4,4,4,5
10202776412,6,7,7,6,4,4,5,5,5,5,6,5,6,6,5,6,6,6,6,5,6
10202776506,4,5,5,4,3,3,5,3,5,5,3,4,5,4,4,3,5,3,4,3,2
10202783539,3,4,3,2,5,4,5,3,2,1,1,3,2,2,4,2,1,3,2,3,1
10202798648,6,6,5,5,4,3,3,3,4,3,3,3,3,3,2,2,5,3,3,4,3
10202799544,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10202812095,5,5,5,6,5,5,6,6,6,5,6,5,6,6,6,4,5,5,6,5,5
10202843360,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3
10202855855,3,4,3,3,5,2,3,3,2,4,4,3,3,2,5,2,5,4,2,2,4
10202895399,4,3,3,3,3,2,3,4,3,4,3,3,4,4,4,5,4,3,4,3,4
10202924728,2,2,2,3,4,3,3,4,4,5,4,4,3,4,3,4,3,4,3,3,3
10202955935,6,6,6,6,6,5,7,5,6,5,5,4,5,5,5,5,6,5,6,6,6
10202998962,4,3,5,4,4,5,5,5,5,4,5,4,3,4,4,3,4,4,4,3,3
10203048234,7,7,7,6,5,6,5,5,4,4,2,4,4,4,4,1,1,2,1,1,1
10203080625,1,3,5,3,5,4,1,5,3,4,3,3,5,3,3,4,6,7,3,3,1
10203145587,3,3,3,4,3,4,4,3,3,3,3,4,4,4,5,5,4,4,4,4,4
10203203592,4,4,4,4,4,5,4,5,5,5,4,4,3,4,4,3,4,3,1,1,1
10203217292,3,3,3,3,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2
10203266433,4,5,5,4,5,4,5,5,5,4,5,4,5,5,5,4,4,5,5,5,4
10203317882,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4
10203354070,6,5,7,5,4,5,4,3,2,3,3,4,4,2,3,2,5,3,6,3,3
10203370956,6,4,6,4,4,5,3,1,2,3,1,3,4,3,2,1,2,3,5,4,3
10203454217,6,5,6,7,6,5,6,7,6,7,7,6,6,6,6,7,6,7,6,5,6
10203589557,4,4,6,4,5,5,5,5,6,5,6,3,4,4,4,3,5,4,4,4,3
10203609052,5,4,4,4,4,3,3,4,4,3,3,3,3,3,3,4,3,3,2,2,2
10203664617,5,6,5,4,5,5,6,5,6,6,4,4,4,4,5,5,6,5,7,6,6
10203676911,6,5,5,5,5,5,3,4,5,5,4,4,4,4,5,4,4,4,4,4,5
10203699605,7,6,6,6,4,3,3,3,4,4,5,4,4,5,5,5,4,4,5,5,4
10203720730,6,5,5,5,4,4,4,4,3,3,3,4,4,4,4,4,4,4,3,2,2
10203764707,6,6,6,5,5,5,5,5,4,4,5,5,5,5,6,7,5,5,5,5,5
10203766239,4,4,3,2,5,5,5,5,4,4,4,4,5,5,4,4,4,4,4,4,4
10203767461,7,6,6,5,5,5,5,4,5,5,5,5,5,5,4,3,6,4,4,4,4
10203821103,3,5,5,6,4,5,5,5,5,5,5,5,5,5,5,5,6,5,4,4,4
10203852696,5,5,6,5,5,6,5,5,5,4,3,4,4,5,4,3,4,4,5,4,5
10203914081,7,6,5,5,5,5,5,5,4,4,4,3,3,3,4,4,4,4,5,4,5
10203925716,5,5,6,5,4,4,5,4,4,4,4,5,4,4,3,3,4,4,3,3,4
10203950182,5,5,5,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4
10203950277,6,6,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3
10203959834,5,6,6,5,5,5,5,5,3,3,5,4,5,4,5,5,6,6,6,5,6
10203973801,5,5,5,4,3,4,4,4,2,4,4,3,3,3,4,3,3,3,5,5,5
10204036294,6,6,6,5,5,5,5,5,4,4,4,5,5,5,5,2,4,4,5,4,4
10204039132,4,3,3,4,4,4,4,4,4,4,3,4,4,4,3,4,3,3,3,4,3
10204041265,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5
10204065126,5,4,5,4,5,5,5,5,4,4,4,4,3,3,4,3,3,3,4,3,4
10204139909,5,3,4,4,4,4,5,3,3,3,3,3,3,2,3,2,2,1,3,2,2
10204150163,3,4,3,3,4,3,4,4,3,3,3,3,4,3,4,1,2,2,2,2,2
10204217054,4,4,4,4,5,4,5,4,4,3,3,4,4,4,4,4,4,4,4,4,4
10204238876,4,5,5,5,5,6,5,6,6,5,5,5,6,6,5,5,6,5,4,5,5
10204267459,5,6,6,6,5,6,6,5,4,5,5,5,5,4,5,5,4,5,4,4,4
10204275204,4,4,5,4,4,4,4,4,3,3,3,4,4,4,3,3,3,2,2,2,2
10204280150,4,4,4,5,4,5,5,4,5,4,4,5,4,5,4,3,4,4,4,4,4
10204313348,6,6,6,5,5,5,5,5,4,4,4,4,5,4,5,5,5,5,3,3,3
10204336476,5,4,5,2,4,5,4,5,4,5,4,4,4,3,4,2,3,5,4,3,4
10204339049,6,6,5,5,6,5,5,4,4,4,4,5,5,5,4,4,3,3,4,5,4
10204341497,5,6,5,5,5,5,5,4,5,5,5,4,5,4,5,4,5,4,3,4,4
10204346931,6,6,6,6,5,6,6,6,1,1,1,5,6,5,4,4,4,4,1,1,1
10204359717,5,5,5,4,4,5,5,5,3,3,3,3,3,2,5,4,3,3,3,3,3
10204361355,5,5,5,4,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3
10204390533,5,5,6,6,5,5,4,5,6,5,5,4,5,5,4,3,5,4,5,4,6
10204415604,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10204458802,4,4,5,3,3,4,5,4,3,3,4,3,2,2,3,4,2,3,4,2,2
10204463995,7,6,7,6,5,6,4,4,6,5,6,5,6,6,6,3,3,5,5,6,5
10204474782,5,4,4,5,3,2,2,3,4,4,3,4,5,5,3,4,4,4,4,4,4
10204489323,3,3,3,4,5,6,5,5,2,2,2,4,4,4,2,1,1,2,3,1,3
10204505062,4,4,5,5,3,3,3,4,5,4,4,5,5,4,5,5,5,5,5,3,4
10204506720,5,5,4,3,4,4,4,3,5,4,4,4,4,4,4,4,3,3,4,4,4
10204574563,5,6,4,4,3,2,2,5,2,3,5,5,3,4,3,2,3,4,5,4,5
10204620855,4,4,5,4,4,5,4,4,2,4,4,4,4,4,2,1,4,4,4,4,4
10204647899,5,5,5,6,3,4,5,6,5,4,5,5,5,6,5,6,5,5,6,5,6
10204693111,6,5,5,4,5,5,4,4,3,3,3,2,2,2,2,2,2,2,3,3,3
10204786464,6,6,5,3,6,6,6,6,4,4,4,4,4,4,5,3,4,4,6,4,6
10204786964,4,4,4,4,4,4,4,3,3,6,5,3,5,4,3,3,6,6,3,3,5
10205003847,4,6,6,4,3,3,3,4,1,3,1,4,4,4,1,1,3,2,4,4,4
10205308006,6,5,5,5,4,4,4,4,4,4,5,5,5,6,6,6,6,5,5,5,6
10205336344,3,3,3,3,4,4,4,4,5,5,5,3,3,3,3,3,4,4,3,3,3
10205356374,5,5,5,5,5,5,4,3,4,4,5,4,4,4,4,4,4,4,4,4,3
10205378998,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10205494137,4,4,4,4,4,4,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3
10205557533,5,7,4,4,5,5,5,4,2,2,3,3,3,2,5,3,2,1,2,2,2
10205660517,6,6,6,6,4,5,4,4,3,3,3,5,5,5,4,5,4,3,4,4,4
10205668608,4,4,4,4,4,4,4,4,4,3,4,5,4,5,5,4,4,4,5,4,4
10205770571,5,4,4,4,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4
10205800708,3,3,3,3,4,3,5,2,4,4,4,4,4,4,3,3,4,3,3,3,3
